,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
514,2,6510000,New Property,Ready To Move,Broker,No, Hennur Gardens,1088
515,2,6276000,Resale,Ready To Move,Broker,No, Hennur,1047
516,2,6510000,New Property,Ready To Move,Broker,No, Hennur,1086
517,2,6726000,New Property,Ready To Move,Broker,No, Hennur,1122
518,4+,75000000,Resale,Ready To Move,Broker,No, Lalbagh Road,2600
519,4+,100000000,New Property,Ready To Move,Broker,No, Lalbagh Road,3095
520,2,11800000,New Property,Ready To Move,Broker,Yes, Yeshwanthpur,1230
521,3,14200000,New Property,Ready To Move,Broker,Yes, Yeshwanthpur,1550
522,2,12100000,New Property,Ready To Move,Broker,Yes, Yeshwanthpur,1260
523,3,14100000,New Property,Ready To Move,Broker,Yes, Yeshwanthpur,1545
524,2,13500000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1150
525,3,7000000,Resale,Ready To Move,Broker,Yes, Bagaluru,1224
526,2,10400000,New Property,Ready To Move,Broker,Yes, Whitefield,1250
527,2,11100000,New Property,Ready To Move,Broker,Yes, Yelahanka,1284
528,2,7271000,New Property,Ready To Move,Broker,Yes, Whitefield,880
529,4,71300000,New Property,Ready To Move,Broker,No, Benson Town,3633
530,2,12400000,New Property,Ready To Move,Broker,Yes, Banashankari 6th Stage,1177
531,2,4300000,New Property,Ready To Move,Broker,No, Electronic City Phase I,964
532,2,13500000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1150
533,2,15000000,New Property,Ready To Move,Broker,No, Sarjapur Outer Ring Road,1150
534,4+,49900000,Resale,Ready To Move,Broker,No, Devanahalli,3260
535,3,10500000,New Property,Ready To Move,Broker,No, Mysore Road,1407
536,3,9000000,New Property,Ready To Move,Broker,No, Kengeri,1582
537,3,22500000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1691
538,3,8400000,New Property,Ready To Move,Broker,No, Sarjapur,1665
539,3,5661000,New Property,Ready To Move,Broker,No, Electronic City,1410
540,2,5040000,New Property,Ready To Move,Broker,No, Electronic City,1250
541,2,10000000,Resale,Ready To Move,Broker,No, Mysore Road,1237
542,3,27500000,New Property,Ready To Move,Broker,No, Thanisandra,1680
543,3,13500000,New Property,Ready To Move,Broker,No, Marathahalli,1680
544,3,15500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1710
545,3,12000000,Resale,Ready To Move,Broker,No, Kodipalya,1617
546,3,15000000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1710
547,4,67600000,New Property,Ready To Move,Broker,No, Old Madras Road,4050
548,2,12900000,New Property,Ready To Move,Broker,Yes, Chikkavaderapura,1345
549,4,96400000,New Property,Ready To Move,Broker,Yes, Hebbal,5410
550,3,54800000,New Property,Ready To Move,Broker,Yes, Bannerghatta Road,4210
551,2,7745000,New Property,Ready To Move,Broker,Yes, Devanahalli,1009
552,2,5040000,New Property,Ready To Move,Broker,No, Electronic City,1250
553,2,10000000,Resale,Ready To Move,Broker,No, Mysore Road,1237
554,3,13500000,New Property,Ready To Move,Broker,No, Marathahalli,1680
555,3,27500000,New Property,Ready To Move,Broker,No, Thanisandra,1680
556,3,15500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1710
557,3,12000000,Resale,Ready To Move,Broker,No, Kodipalya,1617
558,2,5300000,New Property,Ready To Move,Broker,No, Tumkur Road,966
559,3,3800000,New Property,Ready To Move,Broker,No, Chandapura,1434
560,3,17000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1710
561,2,13400000,New Property,Ready To Move,Broker,No, Sarjapur Road,1297
562,3,4600000,New Property,Ready To Move,Broker,No, Sarjapur,1398
563,2,8875000,New Property,Ready To Move,Broker,No, Sahakara Nagar,1290
564,2,14000000,New Property,Ready To Move,Broker,No, Malleshwaram,1200
565,3,13800000,New Property,Ready To Move,Broker,No, Whitefield,1700
566,1,2600000,New Property,Ready To Move,Broker RERA,Yes, Doddaballapur Road,644
567,3,11000000,New Property,Ready To Move,Broker,Yes, Devanahalli,1466
568,1,3754000,Resale,Ready To Move,Broker,Yes, Bagaluru,652
569,2,7745000,New Property,Ready To Move,Broker,Yes, Devanahalli,1009
570,1,5044000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,554
571,2,12000000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1260
572,3,12100000,New Property,Ready To Move,Broker,Yes, Samethanahalli,1571
573,3,9650000,New Property,Ready To Move,Broker,Yes, Devanahalli,1273
574,2,64000000,Resale,Ready To Move,Individual,No, Uttarahalli,1096
575,4,26000000,New Property,Ready To Move,Broker,Yes, Thanisandra Main Road,2600
576,3,5092000,New Property,Ready To Move,Broker,No, Bommasandra Jigani Link Road,1455
577,3,8698000,New Property,Ready To Move,Broker,No, Narayana Nagar 1st Block,1325
578,3,5288000,New Property,Ready To Move,Broker,No, Bommasandra Jigani Link Road,1511
579,2,3937000,New Property,Ready To Move,Broker,No, Bommasandra Jigani Link Road,1125
580,3,5096000,New Property,Ready To Move,Broker,No, Bommasandra Jigani Link Road,1456
581,3,5285000,New Property,Ready To Move,Broker,No, Bommasandra Jigani Link Road,1510
582,3,9320000,New Property,Ready To Move,Broker,No, Narayana Nagar 1st Block,1422
583,3,9308000,New Property,Ready To Move,Broker,No, Narayana Nagar 1st Block,1420
584,3,9314000,New Property,Ready To Move,Broker,No, Narayana Nagar 1st Block,1421
585,3,10200000,New Property,Ready To Move,Broker,No, Kodigehalli - KR Puram,1656
586,3,8704000,New Property,Ready To Move,Broker,No, Narayana Nagar 1st Block,1326
587,4+,18000000,New Property,Ready To Move,Individual,No, Kodigehalli Main Road,2655
588,3,32300000,New Property,Ready To Move,Broker,Yes, Jayanagar,2037
589,2,12400000,New Property,Ready To Move,Broker,Yes, Banashankari 6th Stage,1177
590,4,86200000,New Property,Ready To Move,Broker,Yes, Jayanagar,5219
591,3,6664000,New Property,Ready To Move,Broker,Yes, Whitefield,1750
592,3,36500000,New Property,Ready To Move,Broker,No, Malleshwaram,2215
593,3,12100000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1321
594,3,22800000,New Property,Ready To Move,Broker,No, Binny Pete,1760
595,2,16900000,New Property,Ready To Move,Broker,No, Gunjur,1242
596,4+,50000000,New Property,Ready To Move,Broker,No, Benson Town,3700
597,3,7500000,New Property,Ready To Move,Broker,No, CV Raman Nagar,1410
598,3,8318000,New Property,Ready To Move,Broker,No, Dommasandra,1350
599,2,10500000,New Property,Ready To Move,Broker,No, Yelahanka,1133
600,2,7000000,New Property,Ready To Move,Broker,No, Kasavanahalli,1100
601,3,8228000,New Property,Ready To Move,Broker,No, Dommasandra,1335
602,2,4900000,New Property,Ready To Move,Broker,No, Horamavu,917
603,3,15000000,New Property,Ready To Move,Broker,No, Bagaluru,1401
604,2,11500000,New Property,Ready To Move,Broker,No, Belathur Main Road,981
605,3,9128000,New Property,Ready To Move,Broker,No, Dommasandra,1485
606,3,34000000,New Property,Ready To Move,Broker,No, Hoodi,1655
607,3,13500000,New Property,Ready To Move,Broker,No, Gummanahalli,1600
608,2,4900000,New Property,Ready To Move,Broker,No, Horamavu Main Road,917
609,3,11700000,New Property,Ready To Move,Broker,Yes, Vijaya Nagar,1186
610,3,7390000,New Property,Ready To Move,Broker,Yes, Kengeri,1548
611,2,10300000,New Property,Ready To Move,Broker,Yes, Bellandur,1085
612,2,6700000,New Property,Ready To Move,Broker,Yes, Samethanahalli,841
613,3,16000000,New Property,Ready To Move,Broker,Yes, Chikkavaderapura,1680
614,4,28900000,New Property,Ready To Move,Broker,Yes, Whitefield,2712
615,2,7176000,New Property,Ready To Move,Broker,No, Dommasandra,1160
616,3,5000000,New Property,Ready To Move,Broker,No, Rajanukunte,1200
617,2,6276000,New Property,Ready To Move,Broker,No, Dommasandra,1010
618,2,2500000,Resale,Ready To Move,Individual,No, Hoskote,1065
619,3,10400000,Resale,Ready To Move,Individual,No, Kalkere Main Road,1514
620,3,24300000,New Property,Ready To Move,Broker,Yes, International Airport Road,1696
621,2,15100000,New Property,Ready To Move,Broker,Yes, International Airport Road,1273
622,3,21000000,New Property,Ready To Move,Broker,Yes, International Airport Road,1463
623,4+,24000000,New Property,Ready To Move,Broker,Yes, International Airport Road,2124
624,2,14000000,New Property,Ready To Move,Broker,Yes, International Airport Road,1200
625,4+,35000000,New Property,Ready To Move,Broker,No, Kanakapura Road,2140
626,4+,31000000,New Property,Ready To Move,Broker,No, Whitefield,2200
627,3,36000000,Resale,Ready To Move,Broker,No, Mavalli,2250
628,3,25800000,Resale,Ready To Move,Broker,No, Whitefield,1905
629,2,7200000,Resale,Ready To Move,Broker,No, Kengeri,1199
630,4,86200000,New Property,Ready To Move,Broker,Yes, Jayanagar,5219
631,4,28900000,New Property,Ready To Move,Broker,Yes, Whitefield,2712
632,3,7000000,Resale,Ready To Move,Broker,Yes, Bagaluru,1224
633,2,8800000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1100
634,1,4946000,New Property,Ready To Move,Broker,Yes, Devanahalli,658
635,3,9863000,New Property,Ready To Move,Broker,Yes, Whitefield,1110
636,3,32500000,Resale,Ready To Move,Broker,No, Old Madras Road,2640
637,3,37500000,New Property,Ready To Move,Broker,No, Malleshwaram,2475
638,4+,37000000,New Property,Ready To Move,Broker,No, Whitefield,2595
639,3,32500000,New Property,Ready To Move,Broker,No, Hulimavu,3035
640,4,34000000,Resale,Ready To Move,Broker,No, Whitefield,2475
641,3,38000000,New Property,Ready To Move,Broker,No, Whitefield,1933
642,2,21000000,New Property,Ready To Move,Broker,No, Whitefield,1360
643,3,17000000,Resale,Ready To Move,Broker,No, Whitefield,1655
644,4+,52000000,New Property,Ready To Move,Broker,No, Whitefield,3500
645,3,13500000,New Property,Ready To Move,Broker,No, Kanakapura Road,2221
646,4+,35000000,New Property,Ready To Move,Broker,No, Kanakapura Road,2140
647,4+,31000000,New Property,Ready To Move,Broker,No, Whitefield,2200
648,3,36000000,Resale,Ready To Move,Broker,No, Mavalli,2250
649,3,55000000,New Property,Ready To Move,Broker,No, Marathahalli,2530
650,3,9100000,New Property,Ready To Move,Broker,No, Kengeri,1481
651,1,3754000,Resale,Ready To Move,Broker,Yes, Bagaluru,652
652,3,40200000,New Property,Ready To Move,Broker,Yes, Jayanagar,2554
653,1,5700000,New Property,Ready To Move,Broker,Yes, Whitefield,570
654,3,13000000,New Property,Ready To Move,Broker,Yes, Whitefield,1480
655,4,28700000,New Property,Ready To Move,Broker,Yes, Whitefield,2667
656,4,47000000,New Property,Ready To Move,Broker,Yes, Bannerghatta Road,3891
657,3,32500000,Resale,Ready To Move,Broker,No, Old Madras Road,2640
658,4+,65000000,New Property,Ready To Move,Broker,No, Hebbal,3210
659,3,37500000,New Property,Ready To Move,Broker,No, Malleshwaram,2475
660,3,21700000,New Property,Ready To Move,Broker,No, Hennur Road,1640
661,4+,40000000,New Property,Ready To Move,Broker,No, Whitefield,2555
662,3,25000000,Resale,Ready To Move,Broker,No, Whitefield,1755
663,3,25000000,New Property,Ready To Move,Broker,No, Whitefield,1750
664,4+,65000000,Resale,Ready To Move,Broker,No, Hebbal,3225
665,4+,26000000,New Property,Ready To Move,Broker,No, Whitefield,2580
666,3,21000000,New Property,Ready To Move,Broker,No, Whitefield,1660
667,3,23000000,Resale,Ready To Move,Broker,No, Whitefield,1815
668,4+,55000000,New Property,Ready To Move,Broker,No, Mavalli,1380
669,3,19300000,New Property,Ready To Move,Broker,No, Whitefield,1855
670,4+,37000000,New Property,Ready To Move,Broker,No, Whitefield,2595
671,3,13400000,Resale,Ready To Move,Broker,No, Hebbal,1440
672,2,8500000,New Property,Ready To Move,Broker,Yes, Whitefield,880
673,4,24900000,New Property,Ready To Move,Broker,Yes, Whitefield,2428
674,3,14600000,New Property,Ready To Move,Broker,Yes, Vijaya Nagar,1490
675,2,7271000,New Property,Ready To Move,Broker,Yes, Whitefield,880
676,2,10800000,New Property,Ready To Move,Broker,Yes, Gunjur,1230
677,2,7200000,New Property,Ready To Move,Broker,Yes, Hennur,1152
678,2,21000000,New Property,Ready To Move,Broker,No, Whitefield,1360
679,3,17000000,Resale,Ready To Move,Broker,No, Whitefield,1655
680,2,11300000,New Property,Ready To Move,Broker,No, KR Puram,1259
681,3,36000000,Resale,Ready To Move,Broker,No, Mavalli,2250
682,4+,35000000,New Property,Ready To Move,Broker,No, Kanakapura Road,2140
683,4+,31000000,New Property,Ready To Move,Broker,No, Whitefield,2200
684,3,25800000,Resale,Ready To Move,Broker,No, Whitefield,1905
685,2,7200000,Resale,Ready To Move,Broker,No, Kengeri,1199
686,2,3200000,New Property,Ready To Move,Broker,No, Jigani,792
687,4+,65000000,New Property,Ready To Move,Broker,No, Hebbal,3210
688,4+,40000000,New Property,Ready To Move,Broker,No, Whitefield,2555
689,3,25000000,New Property,Ready To Move,Broker,No, Whitefield,1750
690,4+,65000000,Resale,Ready To Move,Broker,No, Hebbal,3225
691,3,23000000,Resale,Ready To Move,Broker,No, Whitefield,1815
692,3,16500000,Resale,Ready To Move,Broker,No, Whitefield,1580
693,3,40200000,New Property,Ready To Move,Broker,Yes, Jayanagar,2554
694,2,7700000,New Property,Ready To Move,Broker,Yes, Gopasandra,1326
695,2,9600000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,1146
696,2,7714000,New Property,Ready To Move,Broker,Yes, Mysore Road,980
697,2,10100000,New Property,Ready To Move,Broker,Yes, Begur Road,1452
698,3,11200000,New Property,Ready To Move,Broker,Yes, Devanahalli,1498
699,3,6000000,Resale,Ready To Move,Broker,No, Mysore Road,1080
700,3,12700000,Resale,Ready To Move,Broker,No, Off Sarjapur road,1490
701,3,30000000,Resale,Ready To Move,Broker,No, Kanakapura Road,2098
702,4+,44000000,New Property,Ready To Move,Broker,No, Sarjapur Road,3161
703,3,16600000,New Property,Ready To Move,Broker,No, Sarjapur Road,1705
704,3,36600000,New Property,Ready To Move,Broker,No, Whitefield,2757
705,3,110000000,New Property,Ready To Move,Broker,No, Cunningham Road,3489
706,2,13000000,New Property,Ready To Move,Broker,No, Hosur Road,1153
707,3,27000000,New Property,Ready To Move,Broker,No, Hebbal,1847
708,3,13500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1613
709,3,27000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1888
710,3,25000000,New Property,Ready To Move,Broker,No, Banashankari,1900
711,3,18000000,New Property,Ready To Move,Broker,No, Sarjapur,1387
712,2,12500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1279
713,3,18000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1850
714,3,14700000,New Property,Ready To Move,Broker,Yes, Haralur Road,1470
715,4,52000000,New Property,Ready To Move,Broker,Yes, Yeshwanthpur,3055
716,2,9900000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1025
717,3,18100000,New Property,Ready To Move,Broker,Yes, Whitefield,1666
718,3,8900000,New Property,Ready To Move,Broker,Yes, Samethanahalli,1221
719,3,15500000,New Property,Ready To Move,Broker,Yes, Rayasandra,1801
720,4+,46400000,Resale,Ready To Move,Broker,No, Whitefield,3540
721,2,12800000,Resale,Ready To Move,Broker,No, Off Sarjapur road,1312
722,4+,23000000,New Property,Ready To Move,Broker,No, International Airport Road,2400
723,3,16600000,New Property,Ready To Move,Broker,No, Sarjapur Road,1705
724,4+,41400000,New Property,Ready To Move,Broker,No, Whitefield,3160
725,3,33500000,New Property,Ready To Move,Broker,No, Hebbal,2330
726,3,27500000,New Property,Ready To Move,Broker,No, Hebbal,1869
727,3,27000000,New Property,Ready To Move,Broker,No, Hebbal,1847
728,3,22500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1600
729,3,27000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1888
730,3,28000000,New Property,Ready To Move,Broker,No, Whitefield,2000
731,4,90000000,New Property,Ready To Move,Broker,No, Hebbal,6000
732,4+,35000000,New Property,Ready To Move,Broker,No, Whitefield,2500
733,2,16500000,New Property,Ready To Move,Broker,No, Hebbal,1440
734,4+,70000000,Resale,Ready To Move,Broker,No, Bellary Road,4000
735,2,10100000,New Property,Ready To Move,Broker,Yes, Begur Road,1452
736,3,14600000,New Property,Ready To Move,Broker,Yes, Banashankari 6th Stage,1395
737,3,48000000,New Property,Ready To Move,Broker,Yes, Off Bannerghatta Road,3292
738,2,8800000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1100
739,3,10800000,New Property,Ready To Move,Broker,Yes, Mysore Road,1360
740,4,47800000,New Property,Ready To Move,Broker,Yes, Bannerghatta Road,3891
741,3,28000000,New Property,Ready To Move,Broker,No, Whitefield,2000
742,2,14000000,New Property,Ready To Move,Broker,No, Whitefield,1097
743,4,90000000,New Property,Ready To Move,Broker,No, Hebbal,6000
744,3,20000000,Resale,Ready To Move,Broker,No, Whitefield,1920
745,4+,26000000,New Property,Ready To Move,Broker,No, Whitefield,2015
746,3,13500000,New Property,Ready To Move,Broker,No, JP Nagar Phase 8,1669
747,3,25300000,Resale,Ready To Move,Broker,No, Whitefield,1818
748,3,14900000,Resale,Ready To Move,Broker,No, Off Sarjapur road,1528
749,2,12800000,Resale,Ready To Move,Broker,No, Off Sarjapur road,1312
750,4+,23000000,New Property,Ready To Move,Broker,No, International Airport Road,2400
751,4+,41400000,New Property,Ready To Move,Broker,No, Whitefield,3160
752,3,33500000,New Property,Ready To Move,Broker,No, Hebbal,2330
753,3,27500000,New Property,Ready To Move,Broker,No, Hebbal,1869
754,3,22500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1600
755,3,14900000,Resale,Ready To Move,Broker,No, Sarjapur Road,1528
756,4,20000000,New Property,Ready To Move,Broker,Yes, Budigere Cross,3053
757,4,65200000,New Property,Ready To Move,Broker,Yes, Off Bannerghatta Road,4478
758,3,26300000,New Property,Ready To Move,Broker,Yes, Bannerghatta Road,2209
759,2,15000000,New Property,Ready To Move,Broker,Yes, Gunjur,1660
760,2,9600000,New Property,Ready To Move,Broker,Yes, Electronic City,1220
761,4,31800000,New Property,Ready To Move,Broker,Yes, Bannerghatta Road,2700
762,3,11200000,Resale,Ready To Move,Broker,No, Vaderahalli,1306
763,3,14900000,Resale,Ready To Move,Broker,No, Sarjapur Road,1528
764,2,14000000,New Property,Ready To Move,Broker,No, Whitefield,1097
765,3,20000000,Resale,Ready To Move,Broker,No, Whitefield,1920
766,2,16000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1303
767,4+,46100000,New Property,Ready To Move,Broker,No, Whitefield,3556
768,3,16600000,Resale,Ready To Move,Broker,No, Marathahalli-Sarjapur Outer Ring Road,1705
769,3,21700000,New Property,Ready To Move,Broker,No, Whitefield,1611
770,4+,36300000,New Property,Ready To Move,Broker,No, Whitefield,2757
771,2,12500000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1279
772,2,21700000,New Property,Ready To Move,Broker,No, Whitefield,1611
773,3,9000000,Resale,Ready To Move,Individual,Yes, KR Puram,1485
774,3,24300000,New Property,Ready To Move,Broker,Yes, International Airport Road,1696
775,3,21000000,New Property,Ready To Move,Broker,Yes, International Airport Road,1463
776,2,15100000,New Property,Ready To Move,Broker,Yes, International Airport Road,1273
777,2,9279000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,985
778,4,108800000,New Property,Ready To Move,Broker,No, Benson Town,5180
779,3,23000000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2000
780,3,15500000,New Property,Ready To Move,Broker,Yes, Rayasandra,1801
781,1,4516000,Resale,Ready To Move,Broker,Yes, Sarjapur Road,666
782,2,11100000,New Property,Ready To Move,Broker,Yes, Yelahanka,1284
783,2,15100000,New Property,Ready To Move,Broker,Yes, International Airport Road,1273
784,2,14000000,New Property,Ready To Move,Broker,Yes, International Airport Road,1200
785,4+,45000000,Resale,Ready To Move,Broker,No, Thanisandra Main Road,3529
786,4+,68000000,New Property,Ready To Move,Broker,No, Yelahanka,3683
787,3,13700000,New Property,Ready To Move,Broker,No, Yelahanka New Town,1556
788,3,28000000,Resale,Ready To Move,Broker,No, Varthur,1905
789,2,6200000,New Property,Ready To Move,Broker,No, Mathikere,1250
790,3,12600000,Resale,Ready To Move,Broker,No, Yelahanka New Town,1580
791,3,26000000,Resale,Ready To Move,Broker,No, Varthur,1655
792,2,7800000,New Property,Ready To Move,Broker,No, Jakkur,690
793,4,87500000,New Property,Ready To Move,Broker,No, Yelahanka,4025
794,3,34500000,New Property,Ready To Move,Broker,No, Kasavanahalli,3125
795,2,5800000,Resale,Ready To Move,Broker,No, Sadaramangala,1475
796,3,28000000,Resale,Ready To Move,Broker,No, NRI Layout,4800
797,3,23000000,Resale,Ready To Move,Broker,No, Bagalur Main Road,1769
798,4,86200000,New Property,Ready To Move,Broker,Yes, Jayanagar,5219
799,4,64800000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,3600
800,2,7840000,New Property,Ready To Move,Broker,Yes, Begur Road,1120
801,3,15300000,New Property,Ready To Move,Broker,Yes, Gunjur,1685
802,4+,50000000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,7794
803,2,10100000,New Property,Ready To Move,Broker,Yes, Begur Road,1452
